Id,Label,timeset,eigencentrality,indegree,outdegree,Degree,clustering,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,weighted indegree,weighted outdegree,Weighted Degree,modularity_class
ACC,,,0.116445,28,30,58,0.327586,0.000755,9,0.314901,0.344902,0.002994,53,54,107,4
BKO,,,0.054425,16,16,32,0.55,0.00035,9,0.292052,0.316847,0.00008,27,28,55,4
BOY,,,0.001809,2,2,4,1,0.000081,10,0.228022,0.240225,0,2,2,4,4
BRU,,,0.696915,147,146,293,0.225748,0.002246,8,0.353502,0.401428,0.007807,315,316,631,1
CKY,,,0.024096,8,8,16,0.696429,0.000196,9,0.285268,0.30554,0.000016,18,18,36,4
CMN,,,0.363262,87,87,174,0.213184,0.001693,9,0.330398,0.369899,0.007066,125,125,250,1
COO,,,0.046529,19,18,37,0.486842,0.000466,9,0.287576,0.310445,0.000402,39,41,80,4
DKR,,,0.126747,31,31,62,0.345766,0.00066,9,0.315342,0.346343,0.001657,67,67,134,4
DLA,,,0.057484,19,21,40,0.390476,0.00049,9,0.293754,0.320165,0.000541,47,51,98,4
FNA,,,0.044023,11,11,22,0.5,0.00026,9,0.294677,0.317375,0.000141,22,22,44,4
LBV,,,0.035924,15,16,31,0.545833,0.000422,9,0.295296,0.320592,0.000052,24,24,48,4
LFW,,,0.037765,14,14,28,0.508333,0.000336,9,0.291045,0.314107,0.000081,21,20,41,4
NBO,,,0.173147,61,64,125,0.164858,0.001703,9,0.322818,0.360082,0.01027,128,130,258,4
OUA,,,0.047928,14,15,29,0.580952,0.000326,9,0.29327,0.318865,0.000291,33,33,66,4
ROB,,,0.024761,6,6,12,0.761905,0.000156,9,0.269041,0.2887,0.000002,16,16,32,4
TUN,,,0.314176,60,60,120,0.361475,0.001085,9,0.319217,0.354625,0.003095,88,87,175,1
ABL,,,0.000404,2,2,4,0.5,0.000224,11,0.186895,0.193654,0,4,4,8,16
OTZ,,,0.003091,13,12,25,0.065934,0.001143,10,0.229806,0.243083,0.006894,23,22,45,16
SHG,,,0.000413,2,1,3,0.666667,0.00022,12,0.15748,0.161464,0.000288,4,2,6,16
