Id,Label,timeset,eigencentrality,indegree,outdegree,Degree,clustering,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,weighted indegree,weighted outdegree,Weighted Degree,modularity_class
AUA,,,0.111135,25,25,50,0.421667,0.000562,9,0.301733,0.3304,0.000885,46,44,90,8
BEG,,,0.298504,52,52,104,0.410256,0.000784,8,0.316465,0.349475,0.000586,85,86,171,1
BJV,,,0.115502,20,21,41,0.314286,0.000311,9,0.293959,0.322292,0.000031,32,31,63,1
BON,,,0.041095,6,6,12,0.733333,0.000149,9,0.293576,0.317872,0.000001,8,10,18,8
BRI,,,0.213927,41,41,82,0.453049,0.000553,9,0.297219,0.326948,0.000084,50,50,100,1
BRN,,,0.081857,12,12,24,0.659091,0.000205,9,0.287894,0.311602,0.000006,12,12,24,1
CFE,,,0.048732,6,6,12,0.8,0.000128,9,0.291976,0.314471,0.000001,9,9,18,1
CFU,,,0.209827,38,37,75,0.331309,0.000526,9,0.300098,0.331212,0.00009,53,50,103,1
CHQ,,,0.196078,38,37,75,0.37112,0.000533,8,0.294934,0.32478,0.000094,46,44,90,1
CPT,,,0.046698,22,23,45,0.183794,0.000738,9,0.300954,0.325629,0.001601,42,44,86,4
CTA,,,0.318151,50,47,97,0.538367,0.000692,8,0.306109,0.338044,0.000172,118,115,233,1
CUR,,,0.054998,19,19,38,0.298246,0.000473,9,0.296228,0.32298,0.000355,32,31,63,8
DBV,,,0.27139,41,41,82,0.502323,0.000591,9,0.303006,0.335187,0.000205,61,60,121,1
DLM,,,0.174126,28,28,56,0.371921,0.00041,9,0.302165,0.333112,0.000081,59,57,116,1
EZE,,,0.166734,40,40,80,0.315854,0.001092,9,0.32052,0.354881,0.005391,74,75,149,9
FAO,,,0.295514,61,63,124,0.290427,0.000839,8,0.306916,0.34075,0.000651,105,106,211,1
FLR,,,0.200561,26,26,52,0.712308,0.000382,8,0.301733,0.329121,0.00001,53,53,106,1
FNC,,,0.194396,30,30,60,0.505747,0.000449,9,0.299805,0.328603,0.000073,52,52,104,1
FUK,,,0.101936,37,37,74,0.37012,0.000832,9,0.312396,0.340728,0.002115,85,85,170,12
HAV,,,0.140681,30,31,61,0.260417,0.000703,9,0.312685,0.345078,0.001666,42,45,87,8
HER,,,0.318355,58,59,117,0.33633,0.000814,9,0.305169,0.340394,0.000442,109,110,219,1
HGH,,,0.167443,72,72,144,0.318662,0.00126,9,0.310958,0.345379,0.001261,254,252,506,12
HOG,,,0.044136,5,8,13,0.736111,0.000127,9,0.297062,0.319789,0.000002,9,11,20,8
INN,,,0.056288,6,6,12,0.666667,0.00012,9,0.292432,0.315454,0.000001,8,8,16,1
INV,,,0.049045,10,11,21,0.345455,0.000218,9,0.28592,0.308458,0.000172,10,11,21,1
JER,,,0.144812,29,30,59,0.385057,0.000432,9,0.298058,0.325721,0.000069,38,38,76,1
JKH,,,0.028719,5,4,9,0.9,0.000118,9,0.249871,0.267057,0.000001,6,6,12,1
JMK,,,0.091139,10,9,19,0.863636,0.000176,9,0.289747,0.312488,0,13,13,26,1
JTR,,,0.072814,9,10,19,0.754545,0.000167,9,0.293015,0.316702,0.000015,16,15,31,1
KGS,,,0.176278,30,28,58,0.455172,0.000444,9,0.299672,0.329559,0.000131,47,43,90,1
KIT,,,0.021972,3,3,6,0.583333,0.000089,9,0.249243,0.265453,0.000001,4,4,8,1
KIX,,,0.223033,57,57,114,0.338033,0.001143,9,0.337565,0.372593,0.003078,152,152,304,12
KYA,,,0.030442,3,2,5,0.666667,0.00009,9,0.275202,0.29503,0,4,3,7,1
LIM,,,0.158056,57,57,114,0.202381,0.001989,9,0.327769,0.361145,0.013748,115,115,230,9
LJU,,,0.156265,22,22,44,0.571429,0.000343,8,0.304316,0.333022,0.000025,33,33,66,1
LPI,,,0.022454,2,2,4,1,0.000071,8,0.282193,0.301007,0,2,2,4,1
NAP,,,0.318218,51,51,102,0.507843,0.000694,9,0.304097,0.337581,0.000073,79,79,158,1
NDR,,,0.080561,12,12,24,0.5,0.0002,9,0.295167,0.320211,0.000007,18,18,36,1
OPO,,,0.305579,61,61,122,0.310656,0.000959,9,0.314432,0.349757,0.002301,102,100,202,1
PBM,,,0.018966,7,7,14,0.285714,0.000199,9,0.284379,0.304729,0.000114,10,10,20,8
PDL,,,0.081561,16,17,33,0.338235,0.000462,9,0.302734,0.329576,0.002039,24,23,47,1
PFO,,,0.123707,25,25,50,0.33,0.000382,9,0.294036,0.323397,0.000071,43,42,85,1
PMO,,,0.227228,38,39,77,0.497976,0.000557,9,0.304344,0.335797,0.000271,63,63,126,1
POP,,,0.093642,11,14,25,0.6,0.000224,9,0.302246,0.327256,0.000039,13,16,29,8
PUJ,,,0.264159,43,46,89,0.431738,0.000818,9,0.330689,0.366317,0.001959,70,73,143,8
PVK,,,0.065947,9,9,18,0.611111,0.000191,9,0.287576,0.310571,0.000065,11,11,22,1
RAK,,,0.268047,48,49,97,0.431973,0.000691,8,0.302843,0.33435,0.000395,72,73,145,1
RHO,,,0.246592,50,47,97,0.291373,0.000778,9,0.303851,0.336939,0.001086,86,82,168,1
SKG,,,0.279005,55,54,109,0.345118,0.000823,8,0.30874,0.343717,0.000623,87,87,174,1
SMI,,,0.059692,8,7,15,0.964286,0.00015,9,0.276758,0.297976,0,9,9,18,1
SPC,,,0.065541,7,7,14,0.809524,0.00014,9,0.293525,0.316207,0.000006,8,8,16,1
SUF,,,0.13005,21,21,42,0.471861,0.000302,9,0.282878,0.308152,0.000013,25,25,50,1
SXM,,,0.131724,33,33,66,0.329768,0.000771,9,0.308374,0.337126,0.00247,56,58,114,8
TLL,,,0.164002,28,28,56,0.46164,0.000523,8,0.304866,0.33566,0.001745,38,38,76,1
TNG,,,0.093726,12,12,24,0.712121,0.000209,9,0.299751,0.32487,0.000004,19,19,38,1
UIO,,,0.073431,24,23,47,0.28,0.000876,9,0.293372,0.322475,0.004672,39,39,78,8
VCE,,,0.450953,73,73,146,0.43417,0.001061,8,0.335319,0.372334,0.00155,123,122,245,1
VRA,,,0.061933,8,9,17,0.545455,0.000186,9,0.30082,0.326023,0.000113,11,13,24,8
VRN,,,0.151547,22,23,45,0.612648,0.000326,9,0.300793,0.329561,0.000014,38,39,77,1
VXE,,,0.036113,6,4,10,0.633333,0.000164,9,0.254599,0.271436,0.000167,7,5,12,1
XMN,,,0.168915,72,72,144,0.334507,0.001247,9,0.311015,0.345497,0.001238,233,233,466,12
YVR,,,0.266724,75,75,150,0.195439,0.002115,9,0.347035,0.384361,0.018754,157,158,315,8
YYC,,,0.20929,60,59,119,0.232203,0.001605,9,0.331664,0.363776,0.012759,113,115,228,8
YYZ,,,0.583551,146,147,293,0.189637,0.003031,8,0.37978,0.424738,0.042527,317,319,636,8
ZAG,,,0.18696,28,27,55,0.519841,0.00046,8,0.305749,0.334552,0.000775,43,42,85,1
ZTH,,,0.088933,12,12,24,0.532051,0.00021,9,0.289573,0.314,0.000032,17,16,33,1
ANI,,,0.002244,8,7,15,0.069444,0.000778,10,0.229603,0.241706,0.005979,13,12,25,16
BET,,,0.004281,21,22,43,0.028325,0.002334,10,0.230245,0.245195,0.017804,28,29,57,16
CDB,,,0.001553,4,4,8,0,0.000463,10,0.229291,0.240714,0.001726,5,5,10,16
CDV,,,0.001266,2,2,4,0,0.000185,10,0.229229,0.240319,0.00004,3,3,6,16
ENA,,,0.001107,1,1,2,0,0.000099,10,0.229198,0.240122,0,3,3,6,16
HNL,,,0.175255,50,51,101,0.28997,0.001325,9,0.33492,0.367287,0.014943,115,118,233,12
HOM,,,0.001107,1,1,2,0,0.000099,10,0.229198,0.240122,0,2,2,4,16
ILI,,,0.001107,1,1,2,0,0.000099,10,0.229198,0.240122,0,1,1,2,16
JNU,,,0.008133,14,14,28,0.05,0.001303,9,0.26601,0.282428,0.007322,20,20,40,16
KSM,,,0.001584,4,4,8,0,0.000374,10,0.229369,0.240936,0.001993,5,5,10,16
MCG,,,0.00162,4,4,8,0.15,0.000452,10,0.229478,0.241099,0.001726,6,6,12,16
OME,,,0.003531,15,16,31,0.104167,0.001168,10,0.229853,0.243626,0.006897,24,25,49,16
SCC,,,0.002004,5,5,10,0.35,0.000413,10,0.229744,0.241977,0.000834,6,5,11,16
SDP,,,0.001107,1,1,2,0,0.000099,10,0.229198,0.240122,0,2,2,4,16
SNP,,,0.001277,2,2,4,1,0.000173,10,0.229213,0.24027,0,3,3,6,16
STG,,,0.001277,2,2,4,1,0.000173,10,0.229213,0.24027,0,3,3,6,16
UNK,,,0.002037,6,4,10,0.4,0.000418,10,0.229463,0.241257,0.001143,12,8,20,16
VDZ,,,0.001107,1,1,2,0,0.000099,10,0.229198,0.240122,0,2,2,4,16
ANF,,,0.005086,6,5,11,0.466667,0.00026,10,0.251696,0.265877,0.000012,11,11,22,9
CJC,,,0.002408,4,4,8,0.833333,0.000206,10,0.245225,0.258822,0,7,6,13,9
IQQ,,,0.003168,5,5,10,0.45,0.000222,10,0.245761,0.259967,0.000035,10,9,19,9
LSC,,,0.002408,4,4,8,0.833333,0.000206,10,0.245225,0.258822,0,7,7,14,9
ANG,,,0.000624,1,1,2,0,0.000063,10,0.20224,0.21227,0,1,1,2,1
FSC,,,0.034782,9,9,18,0.444444,0.000202,9,0.25349,0.274624,0.000576,14,14,28,1
CHU,,,0.000216,1,1,2,0,0.000139,13,0.136049,0.138694,0.00115,1,1,2,16
HCR,,,0.000372,2,2,4,0,0.00025,11,0.186771,0.193158,0.000575,3,3,6,16
KLG,,,0.000695,3,3,6,0.5,0.000309,11,0.187434,0.195206,0.000023,4,4,8,16
RSH,,,0.000536,3,3,6,0.416667,0.000283,11,0.187434,0.195206,0.000201,4,4,8,16
SHX,,,0.000372,2,2,4,0,0.00025,11,0.186771,0.193158,0.000575,3,3,6,16
ANM,,,0.001103,3,3,6,1,0.000163,10,0.231254,0.242403,0,3,3,6,4
TMM,,,0.002046,6,6,12,0.4,0.000309,10,0.231794,0.243488,0.000577,6,7,13,4
TNR,,,0.036301,20,21,41,0.178571,0.00076,9,0.300712,0.325794,0.005818,27,27,54,4
WMN,,,0.001268,4,4,8,0.666667,0.00021,10,0.23127,0.242551,0,4,4,8,4
ANR,,,0.002641,1,1,2,0,0.000059,10,0.229947,0.242207,0,2,2,4,1
ANS,,,0.00251,1,1,2,0,0.000074,10,0.246875,0.259938,0,1,1,2,9
ANU,,,0.066375,22,22,44,0.355731,0.000474,9,0.301168,0.327419,0.000541,34,35,69,8
AXA,,,0.006995,4,4,8,0.833333,0.000121,10,0.242392,0.256266,0,6,6,12,8
BGI,,,0.056754,18,17,35,0.345029,0.000439,9,0.30249,0.327874,0.001066,23,23,46,8
DOM,,,0.009195,8,8,16,0.486111,0.000212,10,0.245065,0.259868,0.000008,18,17,35,8
KIN,,,0.071238,19,19,38,0.52924,0.000411,9,0.296046,0.322647,0.000042,28,30,58,8
MIA,,,0.429221,134,135,269,0.177616,0.002773,9,0.349876,0.396085,0.021461,366,368,734,8
NEV,,,0.007568,6,5,11,0.733333,0.000164,10,0.242601,0.256711,0,9,8,17,8
PTP,,,0.040922,13,12,25,0.429487,0.00031,9,0.275539,0.297496,0.000641,29,29,58,8
SBH,,,0.007898,6,7,13,0.47619,0.000181,10,0.243195,0.257479,0.000043,10,11,21,8
SDQ,,,0.116027,28,27,55,0.464368,0.000606,9,0.310358,0.342292,0.00032,48,45,93,8
SJU,,,0.166426,48,49,97,0.307398,0.001074,9,0.313585,0.344494,0.0036,102,102,204,8
SKB,,,0.012383,5,6,11,0.666667,0.000146,10,0.261014,0.279391,0.000008,11,11,22,8
SLU,,,0.006187,6,6,12,0.5,0.000176,10,0.238169,0.252456,0.000004,10,11,21,8
TAB,,,0.026162,4,4,8,0.7,0.000112,9,0.278194,0.295679,0.000002,5,4,9,8
UVF,,,0.069213,11,11,22,0.636364,0.000232,9,0.294831,0.319671,0.000011,18,19,37,8
ANV,,,0.000313,2,2,4,0,0.000262,12,0.157407,0.161391,0,3,3,6,16
KGX,,,0.000313,2,2,4,0,0.000262,12,0.157407,0.161391,0,3,3,6,16
ANX,,,0.001721,4,3,7,0.833333,0.000162,10,0.212791,0.224246,0,4,3,7,11
BOO,,,0.014214,14,15,29,0.242857,0.000536,9,0.249299,0.267617,0.002501,17,18,35,11
AOE,,,0.00962,1,1,2,0,0.000057,9,0.261196,0.278345,0,1,1,2,1
AOG,,,0.01581,2,2,4,1,0.000076,9,0.275269,0.295078,0,3,3,6,12
TPS,,,0.068498,28,28,56,0.246032,0.000419,9,0.262904,0.286943,0.000062,28,28,56,1
AOJ,,,0.01168,5,5,10,0.5,0.000164,10,0.271376,0.289959,0.000106,5,5,10,12
CTS,,,0.069657,36,37,73,0.264264,0.000897,9,0.293525,0.319502,0.001329,81,81,162,12
ITM,,,0.020126,22,22,44,0.194805,0.000629,9,0.274063,0.29387,0.000214,42,42,84,12
NKM,,,0.0019,6,6,12,0,0.00022,10,0.219542,0.2302,0.000001,6,6,12,12
AOK,,,0.022508,4,3,7,0.5,0.000137,9,0.249649,0.26639,0.000402,7,6,13,1
KSJ,,,0.000706,2,2,4,0,0.000119,10,0.199846,0.20839,0,4,4,8,1
AOO,,,0.007483,2,2,4,1,0.000105,9,0.268271,0.283545,0,2,2,4,8
JST,,,0.007483,2,2,4,1,0.000105,9,0.268271,0.283545,0,2,2,4,8
AOQ,,,0.000209,1,1,2,0,0.00013,11,0.149531,0.153071,0,1,1,2,22
JUV,,,0.00144,9,9,18,0.083333,0.000909,10,0.175812,0.182195,0.006321,9,9,18,22
AOR,,,0.004879,2,2,4,0,0.000094,10,0.254216,0.27191,0.000001,5,5,10,7
SZB,,,0.009864,12,12,24,0.19697,0.000421,9,0.259789,0.279864,0.000596,29,29,58,7
KZB,,,0.000149,1,0,1,0,0.000116,0,0,0,0,1,0,1,16
APF,,,0.006402,1,1,2,0,0.000062,10,0.259211,0.275931,0,1,1,2,8
APL,,,0.007574,7,7,14,0.619048,0.000277,10,0.257099,0.274861,0.000359,9,9,18,4
BEW,,,0.004916,6,6,12,0.733333,0.000246,10,0.253948,0.270256,0.000073,7,7,14,4
POL,,,0.008045,6,6,12,0.733333,0.000218,10,0.257217,0.275009,0.000003,8,8,16,4
TET,,,0.004793,6,6,12,0.6,0.000261,10,0.253948,0.270256,0.000293,7,7,14,4
VXC,,,0.000522,2,2,4,1,0.000115,11,0.204555,0.213423,0,2,2,4,4
APN,,,0.011517,2,2,4,1,0.00008,10,0.263746,0.280147,0,2,2,4,8
APO,,,0.003124,2,2,4,1,0.000129,10,0.243545,0.258737,0,4,4,8,8
EOH,,,0.004232,8,8,16,0.178571,0.00049,10,0.243651,0.259625,0.001152,11,11,22,8
AQA,,,0.0008,1,1,2,0,0.000074,10,0.208779,0.220487,0,1,1,2,9
AQG,,,0.026719,7,7,14,0.97619,0.00015,9,0.278561,0.299073,0,7,7,14,12
HAK,,,0.096836,37,38,75,0.622333,0.000618,9,0.285244,0.312255,0.000023,107,108,215,12
SHA,,,0.111419,68,67,135,0.283248,0.001208,9,0.285123,0.31612,0.000847,206,205,411,12
WUH,,,0.156249,66,66,132,0.383916,0.001142,9,0.308881,0.341759,0.001201,187,187,374,12
AQI,,,0.008366,2,2,4,1,0.00008,10,0.258596,0.274605,0,2,2,4,6
AQP,,,0.003538,5,5,10,0.6,0.000256,10,0.247218,0.261172,0.000002,10,10,20,9
CUZ,,,0.003538,5,5,10,0.6,0.000256,10,0.247218,0.261172,0.000002,11,11,22,9
JUL,,,0.002943,3,3,6,1,0.000161,10,0.246911,0.260234,0,6,7,13,9
LPB,,,0.014644,16,16,32,0.150735,0.000806,10,0.25,0.267346,0.004614,25,26,51,9
TCQ,,,0.002726,2,2,4,1,0.000117,10,0.246893,0.260086,0,2,2,4,9
ARC,,,0.000156,1,1,2,0,0.000181,12,0.148114,0.151013,0,1,1,2,16
VEE,,,0.000331,2,2,4,0,0.000321,11,0.173857,0.178581,0.000576,2,2,4,16
ARH,,,0.014619,6,6,12,0.2,0.000267,9,0.2642,0.282623,0.00114,9,9,18,3
CSH,,,0.000361,1,1,2,0,0.000082,10,0.208999,0.217745,0,1,1,2,3
MMK,,,0.015369,5,5,10,0.4,0.000171,9,0.264904,0.283773,0.000055,7,7,14,3
NNM,,,0.001044,3,3,6,0,0.00015,10,0.210235,0.220045,0.000001,4,4,8,3
USK,,,0.000651,2,2,4,0,0.000116,10,0.209882,0.219275,0,2,2,4,3
ARI,,,0.002422,3,4,7,0.666667,0.000153,10,0.245743,0.259819,0.00003,4,5,9,9
ARK,,,0.00087,1,1,2,1,0.000068,10,0.226113,0.235684,0,1,1,2,4
ZNZ,,,0.011366,7,7,14,0.513889,0.000252,9,0.292128,0.313264,0.000377,13,11,24,4
ARM,,,0.002599,1,1,2,0,0.000075,10,0.252978,0.267631,0,2,2,4,7
EVG,,,0.00789,2,2,4,1,0.000106,9,0.258418,0.274722,0,2,2,4,1
GEV,,,0.008419,4,4,8,0.5,0.000178,9,0.258477,0.275068,0,6,6,12,1
HAD,,,0.008405,3,4,7,0.5,0.000124,9,0.258536,0.275191,0.000001,4,6,10,1
HFS,,,0.007823,2,2,4,0,0.000106,9,0.258437,0.274772,0.000017,2,2,4,1
JKG,,,0.007903,2,2,4,1,0.000087,9,0.258457,0.274796,0,2,2,4,1
KID,,,0.00764,1,1,2,0,0.000061,9,0.258398,0.274574,0,1,1,2,1
KLR,,,0.008154,2,2,4,0,0.000087,9,0.258497,0.274895,0.000001,3,3,6,1
KLX,,,0.051323,7,7,14,0.767857,0.000149,9,0.288485,0.311785,0.000021,10,10,20,1
KRF,,,0.007908,2,2,4,1,0.000099,9,0.258418,0.274722,0,4,4,8,1
KRN,,,0.007908,2,2,4,1,0.000099,9,0.258418,0.274722,0,3,3,6,1
LLA,,,0.008843,5,5,10,0.3,0.000192,9,0.258536,0.27529,0.000018,6,6,12,1
MHQ,,,0.014622,3,3,6,1,0.000098,9,0.264448,0.282012,0,4,4,8,1
MXX,,,0.00789,2,2,4,1,0.000106,9,0.258418,0.274722,0,2,2,4,1
OER,,,0.00764,1,1,2,0,0.000061,9,0.258398,0.274574,0,1,1,2,1
OSD,,,0.0086,3,3,6,0.666667,0.000112,9,0.258516,0.275043,0.000001,3,3,6,1
POR,,,0.014221,3,3,6,0.666667,0.00012,9,0.264448,0.282012,0.000005,3,3,6,1
PUY,,,0.078198,13,14,27,0.461538,0.000217,9,0.295839,0.323444,0.000028,15,15,30,1
RNB,,,0.008154,2,2,4,0,0.000087,9,0.258497,0.274895,0.000001,3,3,6,1
SDL,,,0.011564,4,4,8,0.5,0.000134,9,0.258615,0.275364,0.000002,5,5,10,1
SFT,,,0.016264,3,3,6,0.333333,0.000086,9,0.261682,0.282101,0.000001,3,3,6,1
SJJ,,,0.082289,13,13,26,0.679487,0.000232,8,0.286259,0.311134,0.000016,16,16,32,1
SPU,,,0.232669,36,36,72,0.530781,0.000533,8,0.303196,0.332987,0.000179,48,49,97,1
VAA,,,0.013987,2,2,4,1,0.000079,9,0.264427,0.281864,0,5,5,10,1
VBY,,,0.0102,4,4,8,0.333333,0.000119,9,0.259072,0.276178,0.000002,8,8,16,1
VHM,,,0.007789,2,2,4,0,0.000154,9,0.258437,0.274772,0.000576,4,4,8,1
ART,,,0.015923,2,2,4,1,0.000078,9,0.275921,0.293113,0,4,4,8,8
ARU,,,0.005507,2,2,4,0,0.000095,10,0.258062,0.274301,0.000004,2,2,4,9
ARW,,,0.003949,1,1,2,0,0.000057,10,0.224475,0.238915,0,1,1,2,1
ASB,,,0.072423,11,11,22,0.527273,0.000228,9,0.305666,0.332381,0.000055,15,15,30,3
ATQ,,,0.020812,6,6,12,0.466667,0.000166,9,0.276418,0.295802,0.000007,9,9,18,6
ASE,,,0.013609,2,2,4,1,0.000085,9,0.281511,0.298356,0,2,2,4,8
ASF,,,0.028999,7,7,14,0.571429,0.000162,9,0.271354,0.293273,0.000001,8,8,16,3
MRV,,,0.061166,16,16,32,0.495833,0.000313,9,0.29233,0.317214,0.00003,22,22,44,3
ASJ,,,0.003296,2,2,4,1,0.000095,10,0.251602,0.265225,0,2,2,4,12
AYQ,,,0.003681,3,3,6,1,0.000147,10,0.253529,0.268909,0,4,4,8,7
VVI,,,0.024964,11,12,23,0.439394,0.000421,9,0.284619,0.307872,0.002286,24,24,48,9
ASV,,,0.000231,1,1,2,0,0.000127,12,0.165938,0.171613,0,1,2,3,4
WIL,,,0.002296,11,10,21,0.045455,0.000972,11,0.19894,0.209416,0.004063,18,19,37,4
ATA,,,0.00251,1,1,2,0,0.000074,10,0.246875,0.259938,0,1,1,2,9
ATC,,,0.002313,2,2,4,1,0.000122,10,0.236683,0.247961,0,3,3,6,8
NAS,,,0.13582,40,39,79,0.265385,0.001181,9,0.310016,0.337303,0.006206,68,67,135,8
TBI,,,0.002313,2,2,4,1,0.000122,10,0.236683,0.247961,0,3,3,6,8
ATD,,,0.000333,1,1,2,0,0.000103,11,0.196795,0.205165,0,1,1,2,7
HIR,,,0.006049,19,21,40,0.071429,0.001459,10,0.244994,0.262817,0.009781,23,25,48,7
AXD,,,0.007113,2,2,4,1,0.000096,9,0.249188,0.26523,0,3,3,6,1
EFL,,,0.027557,6,5,11,0.714286,0.000131,9,0.286332,0.308986,0.000001,7,6,13,1
IEV,,,0.072268,20,20,40,0.260526,0.000371,9,0.279646,0.306923,0.000673,22,22,44,1
IOA,,,0.006849,1,1,2,0,0.00006,9,0.249133,0.264984,0,2,2,4,1
JIK,,,0.011564,3,2,5,0.666667,0.0001,9,0.249152,0.265132,0,4,3,7,1
JKL,,,0.0096,3,3,6,0.666667,0.000112,9,0.249483,0.265946,0,6,6,12,1
JNX,,,0.006849,1,1,2,0,0.00006,9,0.249133,0.264984,0,2,2,4,1
JSH,,,0.008262,4,4,8,0.166667,0.00017,9,0.249225,0.265527,0.000174,5,5,10,1
JSI,,,0.006849,1,1,2,0,0.00006,9,0.249133,0.264984,0,2,2,4,1
JSY,,,0.006849,1,1,2,0,0.00006,9,0.249133,0.264984,0,2,2,4,1
JTY,,,0.007097,2,2,4,1,0.000098,9,0.249152,0.265132,0,4,4,8,1
KSO,,,0.006849,1,1,2,0,0.00006,9,0.249133,0.264984,0,1,1,2,1
KVA,,,0.039363,5,5,10,0.8,0.000109,9,0.276667,0.297181,0,6,6,12,1
KZI,,,0.006849,1,0,1,0,0.00006,0,0,0,0,1,0,1,1
LRS,,,0.007363,3,3,6,0.666667,0.000134,9,0.24917,0.26528,0,6,6,12,1
LXS,,,0.01172,4,4,8,0.666667,0.000133,9,0.249557,0.266341,0,5,5,10,1
MJT,,,0.037201,7,8,15,0.736111,0.000163,9,0.285147,0.307437,0.000028,10,10,20,1
MLO,,,0.006849,1,1,2,0,0.00006,9,0.249133,0.264984,0,2,2,4,1
PAS,,,0.006849,1,1,2,0,0.00006,9,0.249133,0.264984,0,2,2,4,1
SKU,,,0.010781,2,2,4,1,0.000073,9,0.24952,0.266045,0,3,3,6,1
TIA,,,0.118055,18,18,36,0.529412,0.000281,9,0.295683,0.322156,0.000008,36,36,72,1
ATW,,,0.036717,7,7,14,0.52381,0.000175,9,0.283092,0.303953,0.000023,9,9,18,8
AUS,,,0.196779,41,42,83,0.649826,0.000763,9,0.314608,0.343751,0.000153,84,83,167,8
AVL,,,0.036591,8,8,16,0.357143,0.000189,9,0.283068,0.303617,0.000038,12,12,24,8
AVP,,,0.03783,6,6,12,0.666667,0.00015,9,0.283519,0.303533,0.000008,10,9,19,8
AZO,,,0.029302,4,4,8,1,0.000116,9,0.281769,0.301337,0,6,6,12,8
BDA,,,0.063876,8,8,16,0.75,0.000175,9,0.295089,0.31977,0.000003,15,15,30,8
BDL,,,0.136948,26,26,52,0.849231,0.000491,9,0.305749,0.331674,0.000015,52,51,103,8
BHM,,,0.101781,20,20,40,0.763158,0.000387,9,0.294215,0.318778,0.000012,35,36,71,8
BJX,,,0.05108,10,10,20,0.733333,0.000232,9,0.291775,0.313135,0.000006,15,14,29,8
BMI,,,0.048463,8,8,16,0.75,0.000193,9,0.287625,0.3095,0.000016,12,12,24,8
BQK,,,0.00862,1,1,2,0,0.000063,10,0.26664,0.285093,0,3,3,6,8
BTR,,,0.029019,4,4,8,1,0.000116,10,0.277714,0.298541,0,8,8,16,8
BTV,,,0.06485,10,10,20,0.711111,0.000211,9,0.290021,0.311524,0.000017,14,13,27,8
BUF,,,0.115075,20,20,40,0.931579,0.000379,9,0.29266,0.317362,0,35,36,71,8
BZE,,,0.062413,20,20,40,0.315789,0.000603,9,0.298427,0.321167,0.007117,28,28,56,8
CAE,,,0.065529,10,10,20,0.977778,0.000214,9,0.29097,0.312046,0,17,17,34,8
CAK,,,0.064563,11,11,22,0.981818,0.000231,9,0.285847,0.308336,0,22,22,44,8
CCS,,,0.143047,47,47,94,0.184089,0.001531,9,0.317059,0.351802,0.010323,91,90,181,8
CHA,,,0.042899,8,8,16,0.535714,0.000188,9,0.285437,0.305892,0.000028,16,16,32,8
CHO,,,0.04107,6,6,12,1,0.000145,9,0.285292,0.305088,0,13,13,26,8
CHS,,,0.112502,19,20,39,0.889474,0.000361,9,0.2979,0.321759,0.000001,35,34,69,8
CID,,,0.050737,11,11,22,0.4,0.000253,9,0.287355,0.309707,0.000082,18,17,35,8
CMH,,,0.172222,32,32,64,0.807765,0.000593,9,0.307391,0.334539,0.000018,65,63,128,8
COS,,,0.07349,11,11,22,0.981818,0.00025,9,0.298164,0.320752,0,14,13,27,8
CRW,,,0.057011,9,3,12,0.916667,0.000202,10,0.270701,0.290063,0,15,6,21,8
CSG,,,0.00862,1,1,2,0,0.000063,10,0.26664,0.285093,0,3,3,6,8
CVG,,,0.216599,47,47,94,0.621184,0.000868,9,0.318705,0.349478,0.00107,75,75,150,8
CZM,,,0.055915,9,9,18,1,0.000214,9,0.292787,0.315908,0,16,16,32,8
DAB,,,0.014725,2,2,4,1,0.000079,10,0.267549,0.286154,0,5,5,10,8
DAY,,,0.09448,16,16,32,0.95,0.000317,9,0.293423,0.316799,0,32,32,64,8
DHN,,,0.00862,1,1,2,0,0.000063,10,0.26664,0.285093,0,3,3,6,8
DSM,,,0.087126,17,17,34,0.617647,0.000346,9,0.293321,0.317386,0.000108,28,29,57,8
ECP,,,0.021488,5,5,10,1,0.000129,10,0.267083,0.286524,0,7,7,14,8
ELP,,,0.064414,12,13,25,0.858974,0.000256,9,0.296984,0.319553,0.000005,23,24,47,8
EVV,,,0.031021,4,4,8,1,0.000116,9,0.284475,0.303859,0,9,9,18,8
EWN,,,0.014725,2,2,4,1,0.000079,10,0.267549,0.286154,0,5,5,10,8
EYW,,,0.036707,8,8,16,0.785714,0.000175,9,0.275989,0.296314,0,17,16,33,8
FAR,,,0.047995,10,10,20,0.488889,0.000238,9,0.287209,0.309411,0.00006,14,14,28,8
FAY,,,0.026029,4,4,8,0.833333,0.000111,9,0.275471,0.29473,0,8,8,16,8
FNT,,,0.044907,8,8,16,0.964286,0.000182,9,0.283044,0.303884,0,12,14,26,8
FPO,,,0.046454,10,10,20,0.777778,0.000221,9,0.282263,0.303811,0.000001,15,15,30,8
FSD,,,0.044203,9,9,18,0.444444,0.000218,9,0.286989,0.308868,0.000053,13,13,26,8
FSM,,,0.015758,2,2,4,1,0.000082,10,0.271201,0.290687,0,5,5,10,8
FWA,,,0.040664,10,10,20,0.311111,0.000234,9,0.286089,0.307274,0.000067,16,16,32,8
GCM,,,0.096753,19,18,37,0.552632,0.000463,9,0.29654,0.320864,0.001606,26,25,51,8
GDL,,,0.099308,41,41,82,0.306098,0.000888,9,0.298032,0.324735,0.000638,92,93,185,8
GGT,,,0.030032,5,6,11,0.733333,0.000141,9,0.285509,0.306711,0.000015,8,10,18,8
