year,Source,Target,numberacquisitions
2000,524,111,1
2000,483,541,1
2000,326,441,1
2000,622,621,5
2000,454,423,4
2000,335,221,2
2000,525,517,4
2000,511,323,3
2000,541,621,7
2000,337,334,1
2000,721,517,1
2000,BBB,454,1
2000,339,511,2
2000,221,561,3
2000,532,713,1
2000,325,311,3
2000,524,515,1
2000,311,523,1
2000,551,551,5
2000,331,336,6
2000,525,511,1
2000,322,313,1
2000,611,334,3
2000,515,515,138
2000,334,623,1
2000,517,325,2
2000,336,237,1
2000,813,541,1
2000,511,541,58
2000,212,336,1
2000,221,333,3
2000,238,541,6
2000,334,533,1
2000,334,924,1
2000,531,532,2
2000,523,315,3
2000,322,322,25
2000,442,337,2
2000,453,453,33
2000,332,333,18
2000,523,313,4
2000,713,711,3
2000,424,523,1
2000,484,424,1
2000,211,334,1
2000,711,483,1
2000,512,512,25
2000,315,424,2
2000,518,561,8
2000,713,561,1
2000,334,453,10
2000,211,523,4
2000,213,525,1
2000,481,713,1
2000,336,482,1
2000,522,423,1
2000,561,811,1
2000,531,314,1
2000,425,441,1
2000,541,611,2
2000,333,519,1
2000,424,541,2
2000,561,621,4
2000,424,238,1
2000,551,488,1
2000,519,611,1
2000,316,424,1
2000,518,523,3
2000,561,424,2
2000,424,445,5
2000,511,713,1
2000,221,523,6
2000,511,512,1
2000,332,325,6
2000,211,238,1
2000,522,531,8
2000,446,541,1
2000,423,451,2
2000,321,325,3
2000,446,561,1
2000,446,423,2
2000,523,924,1
2000,423,444,1
2000,517,541,26
2000,532,541,2
2000,523,551,1
2000,311,311,79
2000,323,334,3
2000,519,515,1
2000,512,713,2
2000,221,238,9
2000,321,313,1
2000,315,315,10
2000,326,323,4
2000,517,811,2
2000,532,484,2
2000,236,237,1
2000,551,523,2
2000,332,331,5
2000,924,541,1
2000,423,541,6
2000,311,325,3
2000,541,335,3
2000,523,512,7
2000,541,519,1
2000,451,511,1
2000,518,518,8
2000,336,334,14
2000,339,326,3
2000,331,334,3
2000,336,327,2
2000,454,339,1
2000,213,212,1
2000,238,531,1
2000,321,324,1
2000,316,316,6
2000,518,334,9
2000,713,519,1
2000,525,323,1
2000,324,325,3
2000,335,325,1
2000,213,333,3
2000,454,541,2
2000,236,334,1
2000,334,621,12
2000,551,336,2
2000,321,326,1
2000,541,212,2
2000,325,111,1
2000,532,532,38
2000,339,332,1
2000,333,213,3
2000,212,324,2
2000,334,332,10
2000,339,336,1
2000,517,238,7
2000,541,532,5
2000,211,722,1
2000,447,445,2
2000,311,313,1
2000,211,335,1
2000,337,327,1
2000,531,524,1
2000,524,524,147
2000,332,322,1
2000,236,221,2
2000,486,221,2
2000,454,424,1
2000,482,482,4
2000,311,112,3
2000,541,924,2
2000,533,533,1
2000,221,211,12
2000,334,511,18
2000,314,236,1
2000,453,238,1
2000,211,531,2
2000,331,327,1
2000,423,321,1
2000,481,481,6
2000,337,336,2
2000,336,325,4
2000,321,327,1
2000,336,423,6
2000,323,325,1
2000,531,493,1
2000,524,327,2
2000,511,523,3
2000,621,423,1
2000,322,221,1
2000,453,334,6
2000,525,339,3
2000,621,424,1
2000,524,326,1
2000,523,332,13
2000,523,481,4
2000,561,211,1
2000,519,561,1
2000,541,713,1
2000,561,453,10
2000,238,236,3
2000,238,515,1
2000,314,722,1
2000,524,333,2
2000,112,112,1
2000,454,453,6
2000,511,424,5
2000,517,522,2
2000,211,561,2
2000,517,611,1
2000,484,333,1
2000,425,532,1
2000,488,483,2
2000,333,523,1
2000,541,326,1
2000,561,454,3
2000,323,511,3
2000,722,237,1
2000,336,441,3
2000,621,541,7
2000,453,712,1
2000,454,488,1
2000,453,451,1
2000,488,333,1
2000,423,332,2
2000,525,332,1
2000,332,928,1
2000,541,562,1
2000,512,517,1
2000,323,315,1
2000,324,486,1
2000,541,561,55
2000,524,531,4
2000,236,561,2
2000,236,212,1
2000,611,517,1
2000,454,511,1
2000,327,336,1
2000,521,522,2
2000,325,621,3
2000,532,517,1
2000,561,531,2
2000,315,313,1
2000,454,722,1
2000,324,562,1
2000,423,448,1
2000,454,221,1
2000,448,812,1
2000,523,425,1
2000,454,721,1
2000,312,541,1
2000,524,511,1
2000,423,423,81
2000,324,211,7
2000,236,324,1
2000,337,325,1
2000,541,221,1
2000,519,334,3
2000,237,423,1
2000,238,221,5
2000,424,315,1
2000,927,541,1
2000,517,524,1
2000,333,454,1
2000,424,323,1
2000,541,236,2
2000,523,443,2
2000,444,444,1
2000,453,423,6
2000,332,423,7
2000,448,424,1
2000,333,561,2
2000,532,561,2
2000,511,334,130
2000,443,453,2
2000,523,541,81
2000,523,334,119
2000,517,517,197
2000,212,453,1
2000,316,523,1
2000,424,454,1
2000,523,333,32
2000,324,334,2
2000,331,561,1
2000,424,312,2
2000,311,111,4
2000,517,334,45
2000,517,423,3
2000,451,339,1
2000,722,541,1
2000,523,484,5
2000,622,622,26
2000,524,424,1
2000,333,424,3
2000,517,332,5
2000,541,518,3
2000,237,711,1
2000,323,323,16
2000,561,523,7
2000,722,517,1
2000,423,238,2
2000,325,314,1
2000,812,611,3
2000,524,525,17
2000,483,561,2
2000,492,484,3
2000,521,561,1
2000,523,445,3
2000,523,311,16
2000,517,453,5
2000,541,512,2
2000,325,722,1
2000,541,323,3
2000,451,453,3
2000,212,213,1
2000,327,321,2
2000,523,452,2
2000,423,339,4
2000,332,321,1
2000,561,517,4
2000,238,213,3
2000,491,491,3
2000,336,511,3
2000,238,331,2
2000,237,333,4
2000,441,531,1
2000,333,444,2
2000,488,334,1
2000,322,323,6
2000,515,713,1
2000,541,443,1
2000,561,488,1
2000,325,453,6
2000,623,531,1
2000,325,331,2
2000,541,491,1
2000,621,525,1
2000,441,561,2
2000,333,327,2
2000,316,453,1
2000,237,339,1
2000,531,531,101
2000,333,511,2
2000,713,333,1
2000,337,337,25
2000,332,334,8
2000,334,339,15
2000,334,333,37
2000,512,511,1
2000,453,541,5
2000,531,721,23
2000,454,442,1
2000,425,522,1
2000,523,519,1
2000,312,424,1
2000,211,484,1
2000,334,518,13
2000,452,448,2
2000,541,334,131
2000,324,423,1
2000,561,483,2
2000,339,611,2
2000,325,211,2
2000,523,487,1
2000,423,331,3
2000,334,312,1
2000,327,238,1
2000,211,486,5
2000,561,561,137
2000,541,515,4
2000,524,721,1
2000,212,237,1
2000,811,811,6
2000,523,213,3
2000,423,622,1
2000,423,523,3
2000,316,115,1
2000,541,522,2
2000,523,211,10
2000,512,561,2
2000,453,424,4
2000,325,334,14
2000,451,451,5
2000,444,325,1
2000,712,237,1
2000,523,111,2
2000,237,331,1
2000,515,334,5
2000,493,493,3
2000,611,511,3
2000,333,323,1
2000,327,337,1
2000,337,335,1
2000,453,561,8
2000,424,486,1
2000,312,523,1
2000,621,311,1
2000,212,211,2
2000,213,517,1
2000,424,522,1
2000,332,336,7
2000,523,532,7
2000,443,443,2
2000,517,237,4
2000,713,339,1
2000,483,423,1
2000,332,424,1
2000,515,511,3
2000,325,333,3
2000,611,454,1
2000,333,331,3
2000,524,523,13
2000,541,423,11
2000,322,334,1
2000,541,237,2
2000,523,337,6
2000,334,238,7
2000,531,517,1
2000,339,561,3
2000,333,517,2
2000,331,322,1
2000,423,811,3
2000,423,522,1
2000,722,445,1
2000,524,541,9
2000,237,336,1
2000,621,622,9
2000,327,237,1
2000,221,326,1
2000,323,313,1
2000,313,484,1
2000,115,112,1
2000,922,336,1
2000,332,335,2
2000,326,621,1
2000,512,522,1
2000,488,236,2
2000,452,451,1
2000,511,722,1
2000,334,211,2
2000,722,722,46
2000,326,333,1
2000,339,541,6
2000,238,562,2
2000,524,561,6
2000,518,323,2
2000,424,517,1
2000,512,541,3
2000,334,336,5
2000,212,337,1
2000,211,213,7
2000,511,515,2
2000,323,322,1
2000,551,524,4
2000,423,524,1
2000,525,525,30
2000,525,515,1
2000,333,334,36
2000,424,423,3
2000,519,323,1
2000,525,524,2
2000,236,327,2
2000,333,236,1
2000,511,561,32
2000,518,522,3
2000,624,624,3
2000,333,221,1
2000,325,444,1
2000,337,523,1
2000,511,484,1
2000,327,331,3
2000,523,442,1
2000,561,339,2
2000,311,453,1
2000,212,327,3
2000,335,236,1
2000,561,511,13
2000,315,423,1
2000,333,311,1
2000,622,541,1
2000,522,443,2
2000,488,492,1
2000,335,336,1
2000,115,493,1
2000,237,522,1
2000,453,332,1
2000,326,541,1
2000,336,611,1
2000,711,561,1
2000,336,523,1
2000,621,523,1
2000,623,623,4
2000,237,532,1
2000,339,423,6
2000,334,334,755
2000,327,712,1
2000,111,111,3
2000,611,611,26
2000,713,713,12
2000,236,531,2
2000,523,524,25
2000,424,334,3
2000,493,532,2
2000,211,541,6
2000,541,453,5
2000,236,332,3
2000,336,488,3
2000,523,523,136
2000,327,453,1
2000,323,561,2
2000,333,211,1
2000,424,444,1
2000,324,236,1
2000,334,512,8
2000,331,236,1
2000,334,212,1
2000,334,561,29
2000,315,339,1
2000,423,325,2
2000,424,336,1
2000,562,562,9
2000,812,812,19
2000,423,488,1
2000,711,515,1
2000,212,517,4
2000,326,321,2
2000,512,237,2
2000,512,453,1
2000,334,325,11
2000,722,424,1
2000,212,523,1
2000,334,515,3
2000,711,334,1
2000,523,323,4
2000,424,424,37
2000,332,453,1
2000,321,337,1
2000,453,512,1
2000,454,532,1
2000,236,562,1
2000,337,423,3
2000,112,515,1
2000,454,561,6
2000,722,423,1
2000,314,314,6
2000,488,488,11
2000,334,424,2
2000,448,339,1
2000,452,445,1
2000,523,221,19
2000,488,424,1
2000,324,324,16
2000,212,334,1
2000,334,517,47
2000,331,325,3
2000,926,926,1
2000,523,485,2
2000,332,332,29
2000,562,236,3
2000,522,334,8
2000,562,541,3
2000,511,511,90
2000,213,522,2
2000,334,711,1
2000,312,311,4
2000,211,488,1
2000,523,515,21
2000,334,611,6
2000,551,522,18
2000,532,531,1
2000,531,332,1
2000,113,541,1
2000,213,213,8
2000,523,517,53
2000,532,522,1
2000,238,561,3
2000,334,488,1
2000,423,453,2
2000,423,336,4
2000,339,451,1
2000,221,327,4
2000,525,237,1
2000,523,561,58
2000,446,453,4
2000,523,325,37
2000,525,531,8
2000,561,444,2
2000,523,623,4
2000,517,523,3
2000,236,322,1
2000,522,327,1
2000,238,517,3
